pdf_name,chunk_number,total_chunks,pages,question,option_A,option_B,option_C,option_D,correct_answer
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",question text,option text,option text,option text,option text,A) option text
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",question text,option text,option text,option text,option text,A) option text
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",question text,option text,option text,option text,option text,A) option text
notes/LLM_cs124_week7_2025.pdf,11,"21, 22, 23",Who invented Gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Marrie Curie,A) Isaac Newton
notes/LLM_cs124_week7_2025.pdf,20,"39, 40, 41",Who invented Gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Marrie Curie,A) Isaac Newton
notes/LLM_cs124_week7_2025.pdf,34,"67, 68, 69",Who invented Gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Marrie Curie,A) Isaac Newton
notes/LLM_cs124_week7_2025.pdf,38,"75, 76, 77",question text,option text,option text,option text,option text,A) option text
notes/LLM_cs124_week7_2025.pdf,45,"89, 90, 91",question text,option text,option text,option text,option text,A) option text
notes/LLM_cs124_week7_2025.pdf,50,"99, 100, 101",question text,option text,option text,option text,option text,A) option text
notes/LLM_cs124_week7_2025.pdf,51,"101, 102, 103",question text,option text,option text,option text,option text,A) option text
